Function name;Address in the binary;Source file;Source lines;ID;Can be analyzed;Nb paths;Unroll info (src loop);Unroll confidence level (src loop);Is main/unrolled;Unroll factor;Path ID;Repetition factor;Nb instr.;Nb uops;Size (bytes);Nb used x86 reg.;Nb used MMX reg.;Nb used XMM reg.;Nb used YMM reg.;Nb stack ref.;Pattern;Nb insn: SS;Nb insn: SD;Nb insn: PS-XMM;Nb insn: PS-YMM;Nb insn: PS-ZMM;Nb insn: PD-XMM;Nb insn: PD-YMM;Nb insn: PD-ZMM;Ratio ADD-SUB / MUL;Fit in cache;Macro-fusion;Nb FLOP: add-sub;Nb FLOP: mul;Nb FLOP: fma;Nb FLOP: div;Nb FLOP: sqrt;Nb FLOP: rcp;Nb FLOP: rsqrt;Bytes prefetched;Bytes loaded;Bytes stored;Arith. intensity (FLOP / ld+st bytes);Arith. intensity extra info;instr. fetch (cycles);predecode (cycles);instr. queue (cycles);decode (cycles);uop queue (cycles);ROB-read (cycles);Front-end (cycles);Nb uops P0;Nb uops P1;Nb uops P2;Nb uops P3;Nb uops P4;Nb uops P5;Nb uops P6;Nb uops P7;Nb uops P8;Nb uops P9;Nb cycles P0;Nb cycles P1;Nb cycles P2;Nb cycles P3;Nb cycles P4;Nb cycles P5;Nb cycles P6;Nb cycles P7;Nb cycles P8;Nb cycles P9;Dispatch (cycles);RecMII (cycles): min;RecMII (cycles): max;Vec. ratio (%): all (INT);Vec. ratio (%): load (INT);Vec. ratio (%): store (INT);Vec. ratio (%): add-sub (INT);Vec. ratio (%): mul (INT);Vec. ratio (%): fma (INT);Vec. ratio (%): other (INT);Vec. ratio (%): all (FP);Vec. ratio (%): load (FP);Vec. ratio (%): store (FP);Vec. ratio (%): add-sub (FP);Vec. ratio (%): mul (FP);Vec. ratio (%): fma (FP);Vec. ratio (%): div/sqrt (FP);Vec. ratio (%): other (FP);Vec. ratio (%): all;Vec. ratio (%): load;Vec. ratio (%): store;Vec. ratio (%): add-sub;Vec. ratio (%): mul;Vec. ratio (%): fma;Vec. ratio (%): div/sqrt;Vec. ratio (%): other;Vec. eff. ratio (%): all (INT);Vec. eff. ratio (%): load (INT);Vec. eff. ratio (%): store (INT);Vec. eff. ratio (%): add-sub (INT);Vec. eff. ratio (%): mul (INT);Vec. eff. ratio (%): fma (INT);Vec. eff. ratio (%): other (INT);Vec. eff. ratio (%): all (FP);Vec. eff. ratio (%): load (FP);Vec. eff. ratio (%): store (FP);Vec. eff. ratio (%): add-sub (FP);Vec. eff. ratio (%): mul (FP);Vec. eff. ratio (%): fma (FP);Vec. eff. ratio (%): div/sqrt (FP);Vec. eff. ratio (%): other (FP);Vec. eff. ratio (%): all;Vec. eff. ratio (%): load;Vec. eff. ratio (%): store;Vec. eff. ratio (%): add-sub;Vec. eff. ratio (%): mul;Vec. eff. ratio (%): fma;Vec. eff. ratio (%): div/sqrt;Vec. eff. ratio (%): other;[L1] Nb cycles: min;[L1] Nb cycles: max;[L1] FLOP/cycle: min;[L1] FLOP/cycle: max;[L1] IPC: min;[L1] IPC: max;[L1] Bytes prefetched / cycle: min;[L1] Bytes prefetched / cycle: max;[L1] Bytes loaded / cycle: min;[L1] Bytes loaded / cycle: max;[L1] Bytes stored / cycle: min;[L1] Bytes stored / cycle: max;[L1] Bytes ld+st / cycle: min;[L1] Bytes ld+st / cycle: max;[L1] Nb cycles if fully vectorized: min;[L1] Nb cycles if fully vectorized: max;[L1] Nb cycles if nomem vectorized: min;[L1] Nb cycles if nomem vectorized: max;[L1] Nb cycles if FP arith vectorized: min;[L1] Nb cycles if FP arith vectorized: max;[L1] Nb cycles if clean: min;[L1] Nb cycles if clean: max;[L1] Nb cycles if only FP: min;[L1] Nb cycles if only FP: max;[L1] Nb cycles if only FP arith: min;[L1] Nb cycles if only FP arith: max;
nnp_environment_mp_nnp_init_model_;611628;/home/crm98/cp2k_master/build/src/nnp_environment.F;385-385;2945;true;1;unrolled by 10;max;true;10;1;1;12;11;81;3;0;0;5;0;PS-YMM,x86;0;0;0;10;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;160;160;0;NA;NA;NA;NA;NA;2.2;NA;2.2;0.5;0;2.5;2.5;2.5;0;0.5;2.5;2.5;2.5;0.5;0;2.5;2.5;2.5;0;0.5;2.5;2.5;2.5;2.5;1;1;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;50;50;NA;NA;NA;NA;NA;50;50;50;NA;NA;NA;NA;NA;2.5;2.5;0;0;4.8;4.8;0;0;64;64;64;64;128;128;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;1;1;
nnp_environment_mp_nnp_init_model_;611765;/home/crm98/cp2k_master/build/src/nnp_environment.F;386-386;2944;true;1;unrolled by 10;max;false;1;1;1;12;12;58;8;0;0;0;1;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;24;0;0;NA;NA;NA;NA;NA;2.4;NA;2.4;2;2;1.5;1.5;0.5;2;2;0.5;0.5;0.5;2;2;1.5;1.5;0.5;2;2;0.5;0.5;0.5;2;1;1;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;NA;0;10.9375;12.5;NA;12.5;NA;NA;6.25;NA;NA;NA;NA;NA;NA;NA;NA;10.9375;12.5;NA;12.5;NA;NA;NA;6.25;2.4;2.4;0;0;5;5;0;0;10;10;0;0;10;10;0.1875;0.1875;0.5625;0.5625;2.4;2.4;2.4;2.4;1;1;1;1;
nnp_environment_mp_nnp_init_model_;612099;/home/crm98/cp2k_master/build/src/nnp_environment.F;393-393;2943;true;1;not unrolled or unrolled with no peel/tail loop;max;NA;NA;1;1;18;17;113;7;0;1;4;1;PS-XMM,PS-YMM,x86;0;0;2;8;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;168;144;0;NA;NA;NA;NA;NA;3.4;NA;3.4;1;1;4;4;2.5;1;1;2.5;2.5;2.5;1;1;4;4;2.5;1;1;2.5;2.5;2.5;4;1;1;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45;45;45;NA;NA;NA;NA;NA;45;45;45;NA;NA;NA;NA;NA;4;4;0;0;4.5;4.5;0;0;42;42;36;36;78;78;2.25;2.25;4;4;4;4;3;3;3;3;1;1;
nnp_environment_mp_nnp_init_model_;612330;/home/crm98/cp2k_master/build/src/nnp_environment.F;395-395;2941;true;1;not unrolled or unrolled with no peel/tail loop;max;NA;NA;1;1;16;15;133;3;0;0;7;0;PS-YMM,x86;0;0;0;14;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;224;224;0;NA;NA;NA;NA;NA;3;NA;3;0.5;0;3.5;3.5;3.5;0;0.5;3.5;3.5;3.5;0.5;0;3.5;3.5;3.5;0;0.5;3.5;3.5;3.5;3.5;1;1;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;50;50;NA;NA;NA;NA;NA;50;50;50;NA;NA;NA;NA;NA;3.5;3.5;0;0;4.5714285714286;4.5714285714286;0;0;64;64;64;64;128;128;3.5;3.5;3.5;3.5;3.5;3.5;3.5;3.5;3.5;3.5;1;1;
nnp_environment_mp_nnp_init_model_;612935;/home/crm98/cp2k_master/build/src/nnp_environment.F;400-400;2939;true;1;not unrolled or unrolled with no peel/tail loop;max;NA;NA;1;1;23;22;108;8;0;1;0;0;SD,x86;0;2;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;64;16;0;NA;NA;NA;NA;NA;4.4;NA;4.4;3.5;3.5;4;4;1;3.5;3.5;1;1;1;3.5;3.5;4;4;1;3.5;3.5;1;1;1;4;1;1;0;0;NA;NA;NA;NA;0;0;NA;0;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;0;12.5;12.5;NA;NA;NA;NA;12.5;12.5;NA;12.5;NA;NA;NA;NA;NA;12.5;12.5;12.5;NA;NA;NA;NA;12.5;4.4;4.4;0;0;5.2272727272727;5.2272727272727;0;0;14.545454545455;14.545454545455;3.6363636363636;3.6363636363636;18.181818181818;18.181818181818;0.55;0.55;1;1;4.4;4.4;1;1;1;1;1;1;
nnp_environment_mp_nnp_init_model_;612b90;/home/crm98/cp2k_master/build/src/nnp_environment.F;409-409;2938;true;1;multi-versionned;max;NA;NA;1;1;12;11;53;7;0;0;0;0;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;34;2;0;NA;NA;NA;NA;NA;2.2;NA;2.2;1.5;1.5;2.5;2.5;0.5;1.5;1.5;0.5;0.5;0.5;1.5;1.5;2.5;2.5;0.5;1.5;1.5;0.5;0.5;0.5;2.5;1;1;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;NA;NA;9.375;7.8125;NA;12.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.375;7.8125;NA;12.5;NA;NA;NA;NA;2.5;2.5;0;0;4.8;4.8;0;0;13.6;13.6;0.8;0.8;14.4;14.4;0.125;0.125;1.1875;1.1875;2.5;2.5;2.5;2.5;1;1;1;1;
nnp_environment_mp_nnp_init_model_;612c13;/home/crm98/cp2k_master/build/src/nnp_environment.F;409-409;2937;true;1;multi-versionned;max;NA;NA;1;1;12;11;52;7;0;0;0;0;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;34;2;0;NA;NA;NA;NA;NA;2.2;NA;2.2;1.5;1.5;2.5;2.5;0.5;1.5;1.5;0.5;0.5;0.5;1.5;1.5;2.5;2.5;0.5;1.5;1.5;0.5;0.5;0.5;2.5;1;1;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;NA;NA;12.5;12.5;NA;12.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.5;12.5;NA;12.5;NA;NA;NA;NA;2.5;2.5;0;0;4.8;4.8;0;0;13.6;13.6;0.8;0.8;14.4;14.4;0.3125;0.3125;0.75;0.75;2.5;2.5;2.5;2.5;1;1;1;1;
nnp_environment_mp_nnp_init_model_;6129cf;/home/crm98/cp2k_master/build/src/nnp_environment.F;405-414;2931;true;4;not unrolled or unrolled with no peel/tail loop;max;NA;NA;1;1;43;47;248;11;0;0;0;10;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;1;64;0;NA;NA;NA;NA;NA;9.4;NA;9.4;8;8;0.5;0.5;6.5;8;8;6.5;6.5;6.5;8;8;0.5;0.5;6.5;8;8;6.5;6.5;6.5;8;2;2;0;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;0;8.5477941176471;1.5625;9.375;NA;NA;NA;7.8125;NA;NA;NA;NA;NA;NA;NA;NA;8.5477941176471;1.5625;9.375;NA;NA;NA;NA;7.8125;9.4;9.4;0;0;4.5744680851064;4.5744680851064;0;0;0.1063829787234;0.1063829787234;6.8085106382979;6.8085106382979;6.9148936170213;6.9148936170213;0.7890625;0.7890625;4.0390625;4.0390625;9.4;9.4;9.4;9.4;2;2;2;2;
nnp_environment_mp_nnp_init_model_;6129cf;/home/crm98/cp2k_master/build/src/nnp_environment.F;405-414;2931;true;4;not unrolled or unrolled with no peel/tail loop;max;NA;NA;2;1;70;80;419;11;0;0;0;14;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);false;0;0;0;0;0;0;0;0;63;112;0;NA;NA;NA;NA;NA;16;NA;16;12.5;12.5;5.5;5.5;11;12.5;12.5;11;11;11;12.5;12.5;5.5;5.5;11;12.5;12.5;11;11;11;12.5;2;2;0;0;0;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;0;8.447265625;5.6640625;8.7053571428571;12.5;NA;NA;7.03125;NA;NA;NA;NA;NA;NA;NA;NA;8.447265625;5.6640625;8.7053571428571;12.5;NA;NA;NA;7.03125;16;16;0;0;4.375;4.375;0;0;3.9375;3.9375;7;7;10.9375;10.9375;1.28125;1.28125;7.0625;7.0625;16;16;16;16;2;2;2;2;
nnp_environment_mp_nnp_init_model_;6129cf;/home/crm98/cp2k_master/build/src/nnp_environment.F;405-414;2931;true;4;not unrolled or unrolled with no peel/tail loop;max;NA;NA;3;1;77;88;455;11;0;0;0;14;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);false;0;0;0;0;0;0;0;0;71;120;0;NA;NA;NA;NA;NA;17.6;NA;17.6;13.75;13.75;6;6;12;13.75;13.75;12;12;12;13.75;13.75;6;6;12;13.75;13.75;12;12;12;13.75;2;2;0;0;0;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;0;8.3180147058824;5.6640625;8.5416666666667;12.5;NA;NA;6.9791666666667;NA;NA;NA;NA;NA;NA;NA;NA;8.3180147058824;5.6640625;8.5416666666667;12.5;NA;NA;NA;6.9791666666667;17.6;17.6;0;0;4.375;4.375;0;0;4.0340909090909;4.0340909090909;6.8181818181818;6.8181818181818;10.852272727273;10.852272727273;1.3515625;1.3515625;7.5703125;7.5703125;17.6;17.6;17.6;17.6;2.5;2.5;2.5;2.5;
nnp_environment_mp_nnp_init_model_;6129cf;/home/crm98/cp2k_master/build/src/nnp_environment.F;405-414;2931;true;4;not unrolled or unrolled with no peel/tail loop;max;NA;NA;4;1;75;85;441;11;0;0;0;14;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;71;112;0;NA;NA;NA;NA;NA;17;NA;17;13.25;13.25;6;6;11.5;13.25;13.25;11.5;11.5;11.5;13.25;13.25;6;6;11.5;13.25;13.25;11.5;11.5;11.5;13.25;2;2;0;0;0;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;0;8.3806818181818;5.6640625;8.7053571428571;12.5;NA;NA;6.9791666666667;NA;NA;NA;NA;NA;NA;NA;NA;8.3806818181818;5.6640625;8.7053571428571;12.5;NA;NA;NA;6.9791666666667;17;17;0;0;4.4117647058824;4.4117647058824;0;0;4.1764705882353;4.1764705882353;6.5882352941176;6.5882352941176;10.764705882353;10.764705882353;1.2890625;1.2890625;7.0703125;7.0703125;17;17;17;17;2.5;2.5;2.5;2.5;
nnp_environment_mp_nnp_init_model_;6129cf;/home/crm98/cp2k_master/build/src/nnp_environment.F;405-414;2931;true;4;not unrolled or unrolled with no peel/tail loop;max;NA;NA;AVG;1;66.25;75;390.75;11;0;0;0;13;NA;0;0;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;51.5;102;0;NA;NA;NA;NA;NA;15;NA;15;11.875;11.875;4.5;4.5;10.25;11.875;11.875;10.25;10.25;10.25;11.875;11.875;4.5;4.5;10.25;11.875;11.875;10.25;10.25;10.25;11.875;2;2;0;0;0;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;0;8.4234390666778;4.638671875;8.8318452380952;12.5;NA;NA;7.2005208333333;NA;NA;NA;NA;NA;NA;NA;NA;8.4234390666778;4.638671875;8.8318452380952;12.5;NA;NA;NA;7.2005208333333;15;15;0;0;4.4340581977472;4.4340581977472;0;0;3.0636111190124;3.0636111190124;6.8037319376493;6.8037319376493;9.8673430566617;9.8673430566617;1.177734375;1.177734375;6.435546875;6.435546875;15;15;15;15;2.25;2.25;2.25;2.25;
nnp_environment_mp_nnp_init_model_;61d208;/home/crm98/cp2k_master/build/src/nnp_environment.F;430-434;2936;true;2;not unrolled or unrolled with no peel/tail loop;max;NA;NA;1;1;28;29;136;13;0;0;0;4;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;56;8;0;NA;NA;NA;NA;NA;5.8;NA;5.8;5.25;5.25;3.5;3.5;1.5;5.25;5.25;1.5;1.5;1.5;5.25;5.25;3.5;3.5;1.5;5.25;5.25;1.5;1.5;1.5;5.25;1;1;0;0;0;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;0;11.25;12.5;12.5;11.25;NA;NA;9.375;NA;NA;NA;NA;NA;NA;NA;NA;11.25;12.5;12.5;11.25;NA;NA;NA;9.375;5.8;5.8;0;0;4.8275862068966;4.8275862068966;0;0;9.6551724137931;9.6551724137931;1.3793103448276;1.3793103448276;11.034482758621;11.034482758621;0.453125;0.453125;1.15625;1.15625;5.8;5.8;5.8;5.8;1;1;1;1;
nnp_environment_mp_nnp_init_model_;61d208;/home/crm98/cp2k_master/build/src/nnp_environment.F;430-434;2936;true;2;not unrolled or unrolled with no peel/tail loop;max;NA;NA;2;1;22;23;103;12;0;0;0;3;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;32;0;0;NA;NA;NA;NA;NA;4.6;NA;4.6;4.5;4.5;2;2;1;4.5;4.5;1;1;1;4.5;4.5;2;2;1;4.5;4.5;1;1;1;4.5;1;1;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;NA;0;9.8958333333333;12.5;NA;12.5;NA;NA;7.2916666666667;NA;NA;NA;NA;NA;NA;NA;NA;9.8958333333333;12.5;NA;12.5;NA;NA;NA;7.2916666666667;4.6;4.6;0;0;4.7826086956522;4.7826086956522;0;0;6.9565217391304;6.9565217391304;0;0;6.9565217391304;6.9565217391304;0.36590909090909;0.36590909090909;1.0625;1.0625;4.6;4.6;4.6;4.6;1;1;1;1;
nnp_environment_mp_nnp_init_model_;61d208;/home/crm98/cp2k_master/build/src/nnp_environment.F;430-434;2936;true;2;not unrolled or unrolled with no peel/tail loop;max;NA;NA;AVG;1;25;26;119.5;12.5;0;0;0;3.5;NA;0;0;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;44;4;0;NA;NA;NA;NA;NA;5.2;NA;5.2;4.875;4.875;2.75;2.75;1.25;4.875;4.875;1.25;1.25;1.25;4.875;4.875;2.75;2.75;1.25;4.875;4.875;1.25;1.25;1.25;4.875;1;1;0;0;0;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;0;10.572916666667;12.5;12.5;11.875;NA;NA;8.3333333333333;NA;NA;NA;NA;NA;NA;NA;NA;10.572916666667;12.5;12.5;11.875;NA;NA;NA;8.3333333333333;5.2;5.2;0;0;4.8050974512744;4.8050974512744;0;0;8.3058470764618;8.3058470764618;0.68965517241379;0.68965517241379;8.9955022488756;8.9955022488756;0.40951704545455;0.40951704545455;1.109375;1.109375;5.2;5.2;5.2;5.2;1;1;1;1;
nnp_environment_mp_nnp_init_model_;612f01;/home/crm98/cp2k_master/build/src/nnp_environment.F;446-446;2933;true;1;unrolled by 8;high;false;2;1;1;25;24;113;9;0;0;0;0;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;72;8;0;NA;NA;NA;NA;NA;4.8;NA;4.8;3.5;3.5;5;5;1;3.5;3.5;1;1;1;3.5;3.5;5;5;1;3.5;3.5;1;1;1;5;1;1;0;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;0;7.5;8.3333333333333;6.25;NA;NA;NA;12.5;NA;NA;NA;NA;NA;NA;NA;NA;7.5;8.3333333333333;6.25;NA;NA;NA;NA;12.5;5;5;0;0;5;5;0;0;14.4;14.4;1.6;1.6;16;16;0.34375;0.34375;1.9375;1.9375;5;5;5;5;2;2;2;2;
nnp_environment_mp_nnp_init_model_;61ba6e;/home/crm98/cp2k_master/build/src/nnp_environment.F;446-446;2935;true;1;unrolled by 8;high;true;8;1;1;5;4;20;4;0;0;1;0;INT-YMM,x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;32;32;0;NA;NA;NA;NA;NA;0.8;NA;0.8;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;1;1;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA;50;50;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;50;50;NA;NA;NA;NA;NA;1;1;0;0;5;5;0;0;32;32;32;32;64;64;0.5;0.5;1;1;1;1;1;1;1;1;1;1;
nnp_environment_mp_nnp_init_model_;61baa2;/home/crm98/cp2k_master/build/src/nnp_environment.F;446-446;2934;true;1;unrolled by 8;high;false;1;1;1;5;4;16;5;0;0;0;0;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;4;4;0;NA;NA;NA;NA;NA;0.8;NA;0.8;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;1;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;6.25;6.25;6.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.25;6.25;6.25;NA;NA;NA;NA;NA;1;1;0;0;5;5;0;0;4;4;4;4;8;8;0.0625;0.0625;1;1;1;1;1;1;1;1;1;1;
nnp_environment_mp_nnp_init_model_;613331;/home/crm98/cp2k_master/build/src/nnp_environment.F;462-485;2888;true;NA;not unrolled or unrolled with no peel/tail loop;max;NA;NA;1;1;79;89;456;12;0;0;0;9;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);false;0;0;0;0;0;0;0;0;103;100;0;NA;NA;NA;NA;NA;17.8;NA;17.8;14;14;8;8;10.5;14;14;10.5;10.5;10.5;14;14;8;8;10.5;14;14;10.5;10.5;10.5;14;NA;NA;0;0;0;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;0;7.9545454545455;1.5625;8.8942307692308;12.5;NA;NA;5.859375;NA;NA;NA;NA;NA;NA;NA;NA;7.9545454545455;1.5625;8.8942307692308;12.5;NA;NA;NA;5.859375;17.8;17.8;0;0;4.438202247191;4.438202247191;0;0;5.7865168539326;5.7865168539326;5.6179775280899;5.6179775280899;11.404494382022;11.404494382022;1.21875;1.21875;6.5625;6.5625;17.8;17.8;17.8;17.8;3.5;3.5;3.5;3.5;
nnp_environment_mp_nnp_init_model_;613370;/home/crm98/cp2k_master/build/src/nnp_environment.F;488-490;2930;true;1;not unrolled or unrolled with no peel/tail loop;max;NA;NA;1;1;27;26;125;9;0;0;0;0;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;96;16;0;NA;NA;NA;NA;NA;5.2;NA;5.2;3.5;3.5;6;6;2;3.5;3.5;2;2;2;3.5;3.5;6;6;2;3.5;3.5;2;2;2;6;1;1;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;6.25;NA;6.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.25;NA;6.25;NA;NA;NA;NA;NA;6;6;0;0;4.5;4.5;0;0;16;16;2.6666666666667;2.6666666666667;18.666666666667;18.666666666667;0.375;0.375;6;6;6;6;6;6;1;1;1;1;
nnp_environment_mp_nnp_init_model_;61359b;/home/crm98/cp2k_master/build/src/nnp_environment.F;501-511;2929;true;12;not unrolled or unrolled with no peel/tail loop;max;NA;NA;1;1;100;116;556;13;0;0;0;12;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);false;0;0;0;0;0;0;0;0;146;112;0;NA;NA;NA;NA;NA;23.2;NA;23.2;18.5;18.5;11;11;12.5;18.5;18.5;12.5;12.5;12.5;18.5;18.5;11;11;12.5;18.5;18.5;12.5;12.5;12.5;18.5;NA;NA;0;0;0;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;0;8.6397058823529;4.4642857142857;8.9583333333333;12.5;NA;NA;7.2916666666667;NA;NA;NA;NA;NA;NA;NA;NA;8.6397058823529;4.4642857142857;8.9583333333333;12.5;NA;NA;NA;7.2916666666667;23.2;23.2;0;0;4.3103448275862;4.3103448275862;0;0;6.2931034482759;6.2931034482759;4.8275862068966;4.8275862068966;11.120689655172;11.120689655172;1.421875;1.421875;7.578125;7.578125;23.2;23.2;23.2;23.2;4;4;4;4;
nnp_environment_mp_nnp_init_model_;614d90;/home/crm98/cp2k_master/build/src/nnp_environment.F;532-532;2927;true;1;multi-versionned;max;NA;NA;1;1;39;38;157;11;0;1;0;0;SD,x86;0;2;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;112;16;0;NA;NA;NA;NA;NA;8;NA;8;6;6;7;7;1;6;6;1;1;1;6;8;7;7;1;6;6;1;1;1;8;1;1;0;0;NA;NA;NA;NA;0;0;NA;0;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;0;12.5;12.5;NA;NA;NA;NA;12.5;12.5;NA;12.5;NA;NA;NA;NA;NA;12.5;12.5;12.5;NA;NA;NA;NA;12.5;8;8;0;0;4.875;4.875;0;0;14;14;2;2;16;16;1;1;1.4487179487179;1.4487179487179;8;8;1.8;1.8;1.8;1.8;1.75;1.75;
nnp_environment_mp_nnp_init_model_;614e59;/home/crm98/cp2k_master/build/src/nnp_environment.F;533-533;2926;true;1;multi-versionned;max;NA;NA;1;1;39;38;169;11;0;1;0;0;SD,x86;0;2;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;112;16;0;NA;NA;NA;NA;NA;8;NA;8;6;6;7;7;1;6;6;1;1;1;6;8;7;7;1;6;6;1;1;1;8;1;1;0;0;NA;NA;NA;NA;0;0;NA;0;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;0;12.5;12.5;NA;NA;NA;NA;12.5;12.5;NA;12.5;NA;NA;NA;NA;NA;12.5;12.5;12.5;NA;NA;NA;NA;12.5;8;8;0;0;4.875;4.875;0;0;14;14;2;2;16;16;1;1;1.4487179487179;1.4487179487179;8;8;1.8;1.8;1.8;1.8;1.75;1.75;
nnp_environment_mp_nnp_init_model_;614f2e;/home/crm98/cp2k_master/build/src/nnp_environment.F;534-534;2925;true;1;multi-versionned;max;NA;NA;1;1;39;38;169;11;0;1;0;0;SD,x86;0;2;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;112;16;0;NA;NA;NA;NA;NA;8;NA;8;6;6;7;7;1;6;6;1;1;1;6;8;7;7;1;6;6;1;1;1;8;1;1;0;0;NA;NA;NA;NA;0;0;NA;0;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;0;12.5;12.5;NA;NA;NA;NA;12.5;12.5;NA;12.5;NA;NA;NA;NA;NA;12.5;12.5;12.5;NA;NA;NA;NA;12.5;8;8;0;0;4.875;4.875;0;0;14;14;2;2;16;16;1;1;1.4487179487179;1.4487179487179;8;8;1.8;1.8;1.8;1.8;1.75;1.75;
